[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
1,100,0,57.26
22,100,0,57.26
44,100,0,57.26
65,100,0,57.26
87,100,0,57.26
108,100,0,57.26
130,100,0,57.26
152,100,0,57.26
173,100,0,57.26
195,100,0,57.26
217,100,0,57.26
238,100,0,57.26
260,100,0,57.26
281,100,0,57.26
303,100,0,57.26
325,100,0,57.26
346,100,0,57.26
368,100,0,57.26
390,100,0,57.26
411,100,0,57.26
433,100,0,57.26
454,100,0,57.26
476,100,0,57.26
498,100,0,57.26
519,100,0,57.26
541,100,0,57.26
563,100,0,57.26
584,100,0,57.26
606,100,0,57.26
627,100,0,57.26
649,100,0,57.26
671,100,0,57.26
692,100,0,57.26
714,100,0,57.26
736,100,0,57.26
757,100,0,57.26
779,100,0,57.26
801,100,0,57.26
822,100,0,57.26
844,100,0,57.26
865,100,0,57.26
887,100,0,57.26
909,100,0,57.26
930,100,0,57.26
952,100,0,57.26
974,100,0,57.26
995,100,0,57.26
1017,100,0,57.26
1038,100,0,57.26
1060,100,0,57.26
1082,100,0,57.26
1104,100,0,57.26
1125,100,0,57.26
1147,100,0,57.26
1169,100,0,57.26
1190,100,0,57.26
1212,100,0,57.26
1234,100,0,57.26
1255,100,0,57.26
1277,100,0,57.26
1299,100,0,57.26
1320,100,0,57.26
1342,100,0,57.26
1364,100,0,57.26
1386,100,0,57.26
1407,100,0,57.26
1429,100,0,57.26
1451,100,0,57.26
1472,100,0,57.26
1494,100,0,57.26
1516,100,0,57.26
1537,100,0,57.26
1559,100,0,57.26
1581,100,0,57.26
1602,100,0,57.26
1624,100,0,57.26
1646,100,0,57.26
1668,100,0,57.26
1689,100,0,57.26
1711,100,0,57.26
1733,100,0,57.26
1754,100,0,57.26
1776,100,0,57.26
1798,100,0,57.26
1819,100,0,57.26
1841,100,0,57.26
1863,100,0,57.26
1884,100,0,57.26
1906,100,0,57.26
1928,100,0,57.26
1950,100,0,57.26
1971,100,0,57.26
1993,100,0,57.26
2015,100,0,57.26
2036,100,0,57.26
2058,100,0,57.26
2080,100,0,57.26
2101,100,0,57.26
2123,100,0,57.26
2145,100,0,57.26
2167,100,0,57.26
2188,100,0,57.26
2210,100,0,57.26
2232,100,0,57.26
2253,100,0,57.26
2275,100,0,57.26
2297,100,0,57.26
2318,100,0,57.26
2340,100,0,57.26
2362,100,0,57.26
2384,100,0,57.26
2405,100,0,57.26
2427,100,0,57.26
2449,100,0,57.26
2470,100,0,57.26
2492,100,0,57.26
2514,100,0,57.26
2539,100,0,57.26
2561,100,0,57.26
2583,100,0,57.26
2604,100,0,57.26
2626,100,0,57.26
2648,100,0,57.26
2669,100,0,57.26
2691,100,0,57.26
2713,100,0,57.26
2735,100,0,57.26
2756,100,0,57.26
2778,100,0,57.26
2800,100,0,57.26
2821,100,0,57.26
2843,100,0,57.26
2865,100,0,57.26
2886,100,0,57.26
2908,100,0,57.26
2930,100,0,57.26
2952,100,0,57.26
2973,100,0,57.26
2995,100,0,57.26
3017,100,0,57.26
3038,100,0,57.26
3060,100,0,57.26
3082,100,0,57.26
3103,100,0,57.26
3125,100,0,57.26
3147,100,0,57.26
3168,100,0,57.26
3190,100,0,57.26
3212,100,0,57.26
3234,100,0,57.26
3255,100,0,57.26
3277,100,0,57.26
3299,100,0,57.26
3320,100,0,57.26
3342,100,0,57.26
3364,100,0,57.26
3385,100,0,57.26
3407,100,0,57.26
3429,100,0,57.26
3451,100,0,57.26
3472,100,0,57.26
3494,100,0,57.26
3516,100,0,57.26
3537,100,0,57.26
3559,100,0,57.26
3581,100,0,57.26
3602,100,0,57.26
3624,100,0,57.26
3646,100,0,57.26
3668,100,0,57.26
3689,100,0,57.26
3711,100,0,57.26
3733,100,0,57.26
3754,100,0,57.26
3776,100,0,57.26
3798,100,0,57.26
3819,100,0,57.26
3841,100,0,57.26
3863,100,0,57.26
3885,100,0,57.26
3906,100,0,57.26
3928,100,0,57.26
3950,100,0,57.26
3971,100,0,57.26
3993,100,0,57.26
4015,100,0,57.26
4036,100,0,57.26
4058,100,0,57.26
4080,100,0,57.26
4102,100,0,57.26
4123,100,0,57.26
4145,100,0,57.26
4167,100,0,57.26
4188,100,0,57.26
4210,100,0,57.26
4232,100,0,57.26
4253,100,0,57.26
4275,100,0,57.26
4297,100,0,57.26
4319,100,0,57.26
4340,100,0,57.26
4362,100,0,57.26
4384,100,0,57.26
4405,100,0,57.26
4427,100,0,57.26
4449,100,0,57.26
4470,100,0,57.26
4492,100,0,57.26
4514,100,0,57.26
4536,100,0,57.26
4557,100,0,57.26
4579,100,0,57.26
4601,100,0,57.26
4622,100,0,57.26
4644,100,0,57.26
4666,100,0,57.26
4687,100,0,57.26
4709,100,0,57.26
4731,100,0,57.26
4753,100,0,57.26
4774,100,0,58.13
4796,100,0,58.13
4818,100,0,58.13
4839,100,0,58.13
4861,100,0,58.13
4883,100,0,58.13
4905,100,0,58.13
4926,100,0,58.13
4948,100,0,58.13
4970,100,0,58.13
4991,100,0,58.13
5017,100,0,58.13
5039,100,0,58.13
5061,100,0,58.13
5082,100,0,58.13
5104,100,0,58.13
5126,100,0,58.13
5147,100,0,58.13
5169,100,0,58.13
5191,100,0,58.13
5212,100,0,58.13
5234,100,0,58.13
5256,100,0,58.13
5278,100,0,58.13
5299,100,0,58.13
5321,100,0,58.13
5343,100,0,58.13
5364,100,0,58.13
5386,100,0,58.13
5408,100,0,58.13
5429,100,0,58.13
5451,100,0,58.13
5473,100,0,58.13
5495,100,0,58.13
5516,100,0,58.13
5538,100,0,58.13
5560,100,0,58.13
5581,100,0,58.13
5603,100,0,58.13
5625,100,0,58.13
5646,100,0,58.13
5668,100,0,58.13
5690,100,0,58.13
5712,100,0,58.13
5733,100,0,58.13
5755,100,0,58.13
5777,100,0,58.13
5798,100,0,58.13
5820,100,0,58.13
5842,100,0,58.13
5863,100,0,58.13
5885,100,0,58.13
5907,100,0,58.13
5929,100,0,58.13
5950,100,0,58.13
5972,100,0,58.13
5994,100,0,58.13
6015,100,0,58.13
6037,100,0,58.13
6059,100,0,58.13
6080,100,0,58.13
6102,100,0,58.13
6124,100,0,58.13
6146,100,0,58.13
6167,100,0,58.13
6189,100,0,58.13
6211,100,0,58.13
6232,100,0,58.13
6254,100,0,58.13
6276,100,0,58.13
6297,100,0,58.13
6319,100,0,58.13
6341,100,0,58.13
6363,100,0,58.13
6384,100,0,58.13
6406,100,0,58.13
6428,100,0,58.13
6449,100,0,58.13
6471,100,0,58.13
6493,100,0,58.13
6514,100,0,58.13
6536,100,0,58.13
6558,100,0,58.13
6580,100,0,58.13
6601,100,0,58.13
6623,100,0,58.13
6645,100,0,58.13
6666,100,0,58.13
6688,100,0,58.13
6710,100,0,58.13
6731,100,0,58.13
6753,100,0,58.13
6775,100,0,58.13
6797,100,0,58.13
6818,100,0,58.13
6840,100,0,58.13
6862,100,0,58.13
6883,100,0,58.13
6905,100,0,58.13
6927,100,0,58.13
6948,100,0,58.13
6970,100,0,58.13
6992,100,0,58.13
7014,100,0,58.13
7035,100,0,58.13
7057,100,0,58.13
7079,100,0,58.13
7100,100,0,58.13
7122,100,0,58.13
7144,100,0,58.13
7165,100,0,58.13
7187,100,0,58.13
7209,100,0,58.13
7231,100,0,58.13
7252,100,0,58.13
7274,100,0,58.13
7296,100,0,58.13
7317,100,0,58.13
7339,100,0,58.13
7361,100,0,58.13
7382,100,0,58.13
7404,100,0,58.13
7426,100,0,58.13
7448,100,0,58.13
7469,100,0,58.13
7495,100,0,58.13
7517,100,0,58.13
7538,100,0,58.13
7560,100,0,58.13
7582,100,0,58.13
7604,100,0,58.13
7625,100,0,58.13
7647,100,0,58.13
7669,100,0,58.13
7690,100,0,58.13
7712,100,0,58.13
7734,100,0,58.13
7756,100,0,58.13
7777,100,0,58.13
7799,100,0,58.13
7821,100,0,58.13
7842,100,0,58.13
7864,100,0,58.13
7886,100,0,58.13
7907,100,0,58.13
7929,100,0,58.13
7951,100,0,58.13
7973,100,0,58.13
7994,100,0,58.13
8016,100,0,58.13
8038,100,0,58.13
8059,100,0,58.13
8081,100,0,58.13
8103,100,0,58.13
8124,100,0,58.13
8146,100,0,58.13
8168,100,0,58.13
8190,100,0,58.13
8211,100,0,58.13
8233,100,0,58.13
8255,100,0,58.13
8276,100,0,58.13
8298,100,0,58.13
8320,100,0,58.13
8341,100,0,58.13
8363,100,0,58.13
8385,100,0,58.13
8407,100,0,58.13
8428,100,0,58.13
8450,100,0,58.13
8472,100,0,58.13
8493,100,0,58.13
8515,100,0,58.13
8537,100,0,58.13
8559,100,0,58.13
8580,100,0,58.13
8602,100,0,58.13
8624,100,0,58.13
8645,100,0,58.13
8667,100,0,58.13
8689,100,0,58.13
8710,100,0,58.13
8732,100,0,58.13
8754,100,0,58.13
8776,100,0,58.13
8797,100,0,58.13
8819,100,0,58.13
8841,100,0,58.13
8862,100,0,58.13
8884,100,0,58.13
8906,100,0,58.13
8928,100,0,58.13
8949,100,0,58.13
8971,100,0,58.13
8993,100,0,58.13
9014,100,0,58.13
9036,100,0,58.13
9058,100,0,58.13
9079,100,0,58.13
9101,100,0,58.13
9123,100,0,58.13
9145,100,0,58.13
9166,100,0,58.13
9188,100,0,58.13
