[Timestamp_micros,aout_speed_uint8,speed_measured_hz]
0,100,57.10
21,100,57.10
42,100,57.10
63,100,57.10
84,100,57.10
105,100,57.10
126,100,57.10
147,100,57.10
168,100,57.10
189,100,57.10
210,100,57.10
231,100,57.10
253,100,57.10
274,100,57.10
295,100,57.10
316,100,57.10
337,100,57.10
358,100,57.10
379,100,57.10
400,100,57.10
421,100,57.10
442,100,57.10
463,100,57.10
484,100,57.10
505,100,57.10
526,100,57.10
548,100,57.10
569,100,57.10
590,100,57.10
611,100,57.10
632,100,57.10
653,100,57.10
674,100,57.10
695,100,57.10
716,100,57.10
737,100,57.10
758,100,57.10
779,100,57.10
800,100,57.10
821,100,57.10
842,100,57.10
864,100,57.10
885,100,57.10
906,100,57.10
927,100,57.10
948,100,57.10
969,100,57.10
990,100,57.10
1011,100,57.10
1032,100,57.10
1053,100,57.10
1074,100,57.10
1095,100,57.10
1117,100,57.10
1138,100,57.10
1159,100,57.10
1180,100,57.10
1201,100,57.10
1222,100,57.10
1243,100,57.10
1264,100,57.10
1285,100,57.10
1307,100,57.10
1328,100,57.10
1349,100,57.10
1370,100,57.10
1391,100,57.10
1412,100,57.10
1433,100,57.10
1454,100,57.10
1475,100,57.10
1496,100,57.10
1518,100,57.10
1539,100,57.10
1560,100,57.10
1581,100,57.10
1602,100,57.10
1623,100,57.10
1644,100,57.10
1665,100,57.10
1686,100,57.10
1708,100,57.10
1729,100,57.10
1750,100,57.10
1771,100,57.10
1792,100,57.10
1813,100,57.10
1834,100,57.10
1855,100,57.10
1876,100,57.10
1897,100,57.10
1919,100,57.10
1940,100,57.10
1961,100,57.10
1982,100,57.10
2003,100,57.10
2024,100,57.10
2045,100,57.10
2066,100,57.10
2087,100,57.10
2109,100,57.10
2130,100,57.10
2151,100,57.10
2172,100,57.10
2193,100,57.10
2214,100,57.10
2235,100,57.10
2256,100,57.10
2277,100,57.10
2299,100,57.10
2320,100,57.10
2341,100,57.10
2362,100,57.10
2383,100,57.10
2404,100,57.10
2425,100,57.10
2446,100,57.10
2467,100,57.10
2489,100,57.10
2510,100,57.10
2531,100,57.10
2552,100,57.10
2573,100,57.10
2594,100,57.10
2615,100,57.10
2636,100,57.10
2657,100,57.10
2679,100,57.10
2700,100,57.10
2721,100,57.10
2742,100,57.10
2763,100,57.10
2788,100,57.10
2809,100,57.10
2830,100,57.10
2851,100,57.10
2872,100,57.10
2894,100,57.10
2915,100,57.10
2936,100,57.10
2957,100,57.10
2978,100,57.10
2999,100,57.10
3020,100,57.10
3041,100,57.10
3063,100,57.10
3084,100,57.10
3105,100,57.10
3126,100,57.10
3147,100,57.10
3168,100,57.10
3189,100,57.10
3210,100,57.10
3231,100,57.10
3253,100,57.10
3274,100,57.10
3295,100,57.10
3316,100,57.10
3337,100,57.10
3358,100,57.10
3379,100,57.10
3400,100,57.10
3421,100,57.10
3443,100,57.10
3464,100,57.10
3485,100,57.10
3506,100,57.10
3527,100,57.10
3548,100,57.10
3569,100,57.10
3590,100,57.10
3612,100,57.10
3633,100,57.10
3654,100,57.10
3675,100,57.10
3696,100,57.10
3717,100,57.10
3738,100,57.10
3759,100,57.10
3780,100,57.10
3802,100,57.10
3823,100,57.10
3844,100,57.10
3865,100,57.10
3886,100,57.10
3907,100,57.10
3928,100,57.10
3949,100,57.10
3970,100,57.10
3992,100,57.10
4013,100,57.10
4034,100,57.10
4055,100,57.10
4076,100,57.10
4097,100,57.10
4118,100,57.10
4139,100,57.10
4160,100,57.10
4181,100,57.10
4203,100,57.10
4224,100,57.10
4245,100,57.10
4266,100,57.10
4287,100,57.10
4308,100,57.10
4329,100,57.10
4350,100,57.10
4372,100,57.10
4393,100,57.10
4414,100,57.10
4435,100,57.10
4456,100,57.10
4477,100,57.10
4498,100,57.10
4519,100,57.10
4540,100,57.10
4562,100,57.10
4583,100,57.10
4604,100,57.10
4625,100,57.10
4646,100,57.10
4667,100,57.10
4688,100,57.10
4709,100,57.10
4730,100,57.10
4752,100,57.10
4773,100,57.10
4794,100,57.10
4815,100,57.10
4836,100,57.10
4857,100,57.10
4878,100,57.10
4899,100,57.10
4920,100,57.10
4942,100,57.10
4963,100,57.56
4984,100,57.56
5005,100,57.56
5026,100,57.56
5047,100,57.56
5068,100,57.56
5089,100,57.56
5110,100,57.56
5132,100,57.56
5153,100,57.56
5174,100,57.56
5195,100,57.56
5216,100,57.56
5237,100,57.56
5258,100,57.56
5279,100,57.56
5300,100,57.56
5322,100,57.56
5343,100,57.56
5364,100,57.56
5385,100,57.56
5406,100,57.56
5427,100,57.56
5448,100,57.56
5469,100,57.56
5495,100,57.56
5516,100,57.56
5537,100,57.56
5558,100,57.56
5579,100,57.56
5600,100,57.56
5621,100,57.56
5642,100,57.56
5664,100,57.56
5685,100,57.56
5706,100,57.56
5727,100,57.56
5748,100,57.56
5769,100,57.56
5790,100,57.56
5811,100,57.56
5832,100,57.56
5854,100,57.56
5875,100,57.56
5896,100,57.56
5917,100,57.56
5938,100,57.56
5959,100,57.56
5980,100,57.56
6001,100,57.56
6022,100,57.56
6043,100,57.56
6065,100,57.56
6086,100,57.56
6107,100,57.56
6128,100,57.56
6149,100,57.56
6170,100,57.56
6191,100,57.56
6212,100,57.56
6233,100,57.56
6254,100,57.56
6276,100,57.56
6297,100,57.56
6318,100,57.56
6339,100,57.56
6360,100,57.56
6381,100,57.56
6402,100,57.56
6423,100,57.56
6444,100,57.56
6466,100,57.56
6487,100,57.56
6508,100,57.56
6529,100,57.56
6550,100,57.56
6571,100,57.56
6592,100,57.56
6613,100,57.56
6634,100,57.56
6655,100,57.56
6677,100,57.56
6698,100,57.56
6719,100,57.56
6740,100,57.56
6761,100,57.56
6782,100,57.56
6803,100,57.56
6824,100,57.56
6845,100,57.56
6867,100,57.56
6888,100,57.56
6909,100,57.56
6930,100,57.56
6951,100,57.56
6972,100,57.56
6993,100,57.56
7014,100,57.56
7035,100,57.56
7056,100,57.56
7078,100,57.56
7099,100,57.56
7120,100,57.56
7141,100,57.56
7162,100,57.56
7183,100,57.56
7204,100,57.56
7225,100,57.56
7246,100,57.56
7268,100,57.56
7289,100,57.56
7310,100,57.56
7331,100,57.56
7352,100,57.56
7373,100,57.56
7394,100,57.56
7415,100,57.56
7436,100,57.56
7458,100,57.56
7479,100,57.56
7500,100,57.56
7521,100,57.56
7542,100,57.56
7563,100,57.56
7584,100,57.56
7605,100,57.56
7626,100,57.56
7647,100,57.56
7669,100,57.56
7690,100,57.56
7711,100,57.56
7732,100,57.56
7753,100,57.56
7774,100,57.56
7795,100,57.56
7816,100,57.56
7837,100,57.56
7859,100,57.56
7880,100,57.56
7901,100,57.56
7922,100,57.56
7943,100,57.56
7964,100,57.56
7985,100,57.56
8006,100,57.56
8027,100,57.56
8048,100,57.56
8070,100,57.56
8091,100,57.56
8112,100,57.56
8133,100,57.56
