[Timestamp_micros,aout_speed_uint8,speed_measured_hz]
0,100,57.71
21,100,57.71
42,100,57.71
63,100,57.71
84,100,57.71
105,100,57.71
126,100,57.71
147,100,57.71
168,100,57.71
189,100,57.71
210,100,57.71
231,100,57.71
253,100,57.71
274,100,57.71
295,100,57.71
316,100,57.71
337,100,57.71
358,100,57.71
379,100,57.71
400,100,57.71
421,100,57.71
442,100,57.71
463,100,57.71
484,100,57.71
505,100,57.71
526,100,57.71
548,100,57.71
569,100,57.71
590,100,57.71
611,100,57.71
632,100,57.71
653,100,57.71
674,100,57.71
695,100,57.71
716,100,57.71
737,100,57.71
758,100,57.71
779,100,57.71
800,100,57.71
821,100,57.71
843,100,57.71
864,100,57.71
885,100,57.71
906,100,57.71
927,100,57.71
948,100,57.71
969,100,57.71
990,100,57.71
1011,100,57.71
1032,100,57.71
1053,100,57.71
1074,100,57.71
1095,100,57.71
1117,100,57.71
1138,100,57.71
1159,100,57.71
1180,100,57.71
1201,100,57.71
1222,100,57.71
1243,100,57.71
1264,100,57.71
1285,100,57.71
1306,100,57.71
1328,100,57.71
1349,100,57.71
1370,100,57.71
1391,100,57.71
1412,100,57.71
1433,100,57.71
1454,100,57.71
1475,100,57.71
1496,100,57.71
1517,100,57.71
1539,100,57.71
1560,100,57.71
1581,100,57.71
1602,100,57.71
1623,100,57.71
1644,100,57.71
1665,100,57.71
1686,100,57.71
1707,100,57.71
1728,100,57.71
1750,100,57.71
1771,100,57.71
1792,100,57.71
1813,100,57.71
1834,100,57.71
1855,100,57.71
1876,100,57.71
1897,100,57.71
1918,100,57.71
1939,100,57.71
1961,100,57.71
1982,100,57.71
2003,100,57.71
2024,100,57.71
2045,100,57.71
2066,100,57.71
2087,100,57.71
2108,100,57.71
2129,100,57.71
2151,100,57.71
2172,100,57.71
2193,100,57.71
2214,100,57.71
2235,100,57.71
2256,100,57.71
2277,100,57.71
2298,100,57.71
2319,100,57.71
2341,100,57.71
2362,100,57.71
2383,100,57.71
2404,100,57.71
2425,100,57.71
2446,100,56.78
2467,100,56.78
2488,100,56.78
2509,100,56.78
2530,100,56.78
2552,100,56.78
2573,100,56.78
2594,100,56.78
2615,100,56.78
2636,100,56.78
2657,100,56.78
2678,100,56.78
2699,100,56.78
2720,100,56.78
2742,100,56.78
2763,100,56.78
2788,100,56.78
2809,100,56.78
2830,100,56.78
2851,100,56.78
2872,100,56.78
2893,100,56.78
2914,100,56.78
2936,100,56.78
2957,100,56.78
2978,100,56.78
2999,100,56.78
3020,100,56.78
3041,100,56.78
3062,100,56.78
3083,100,56.78
3104,100,56.78
3125,100,56.78
3147,100,56.78
3168,100,56.78
3189,100,56.78
3210,100,56.78
3231,100,56.78
3252,100,56.78
3273,100,56.78
3294,100,56.78
3315,100,56.78
3336,100,56.78
3358,100,56.78
3379,100,56.78
3400,100,56.78
3421,100,56.78
3442,100,56.78
3463,100,56.78
3484,100,56.78
3505,100,56.78
3526,100,56.78
3548,100,56.78
3569,100,56.78
3590,100,56.78
3611,100,56.78
3632,100,56.78
3653,100,56.78
3674,100,56.78
3695,100,56.78
3716,100,56.78
3738,100,56.78
3759,100,56.78
3780,100,56.78
3801,100,56.78
3822,100,56.78
3843,100,56.78
3864,100,56.78
3885,100,56.78
3906,100,56.78
3927,100,56.78
3949,100,56.78
3970,100,56.78
3991,100,56.78
4012,100,56.78
4033,100,56.78
4054,100,56.78
4075,100,56.78
4096,100,56.78
4117,100,56.78
4139,100,56.78
4160,100,56.78
4181,100,56.78
4202,100,56.78
4223,100,56.78
4244,100,56.78
4265,100,56.78
4286,100,56.78
4307,100,56.78
4328,100,56.78
4350,100,56.78
4371,100,56.78
4392,100,56.78
4413,100,56.78
4434,100,56.78
4455,100,56.78
4476,100,56.78
4497,100,56.78
4518,100,56.78
4540,100,56.78
4561,100,56.78
4582,100,56.78
4603,100,56.78
4624,100,56.78
4645,100,56.78
4666,100,56.78
4687,100,56.78
4708,100,56.78
4730,100,56.78
4751,100,56.78
4772,100,56.78
4793,100,56.78
4814,100,56.78
4835,100,56.78
4856,100,56.78
4877,100,56.78
4898,100,56.78
4919,100,56.78
4941,100,56.78
4962,100,56.78
4983,100,56.78
5004,100,56.78
5025,100,56.78
5046,100,56.78
5067,100,56.78
