[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,57.44
21,100,0,57.44
43,100,0,57.44
64,100,0,57.44
86,100,0,57.44
108,100,0,57.44
129,100,0,57.44
151,100,0,57.44
172,100,0,57.44
194,100,0,57.44
216,100,0,57.44
237,100,0,57.44
259,100,0,57.44
281,100,0,57.44
302,100,0,57.44
324,100,0,57.44
345,100,0,57.44
367,100,0,57.44
389,100,0,57.44
410,100,0,57.44
432,100,0,57.44
453,100,0,57.44
475,100,0,57.44
497,100,0,57.44
518,100,0,57.44
540,100,0,57.44
562,100,0,57.44
583,100,0,57.44
605,100,0,57.44
626,100,0,57.44
648,100,0,57.44
670,100,0,57.44
691,100,0,57.44
713,100,0,57.44
735,100,0,57.44
756,100,0,57.44
778,100,0,57.44
799,100,0,57.44
821,100,0,57.44
843,100,0,57.44
864,100,0,57.44
886,100,0,57.44
907,100,0,57.44
929,100,0,57.44
951,100,0,57.44
972,100,0,57.44
994,100,0,57.44
1016,100,0,57.44
1037,100,0,57.44
1059,100,0,57.44
1081,100,0,57.44
1102,100,0,57.44
1124,100,0,57.44
1146,100,0,57.44
1167,100,0,57.44
1189,100,0,57.44
1211,100,0,57.44
1232,100,0,57.44
1254,100,0,57.44
1276,100,0,57.44
1297,100,0,57.44
1319,100,0,57.44
1341,100,0,57.44
1362,100,0,57.44
1384,100,0,57.44
1406,100,0,57.44
1427,100,0,57.44
1449,100,0,57.44
1471,100,0,57.44
1492,100,0,57.44
1514,100,0,57.44
1536,100,0,57.44
1557,100,0,57.44
1579,100,0,57.44
1601,100,0,57.44
1623,100,0,57.44
1644,100,0,57.44
1666,100,0,57.44
1688,100,0,57.44
1709,100,0,57.44
1731,100,0,57.44
1753,100,0,57.44
1774,100,0,57.44
1796,100,0,57.44
1818,100,0,57.44
1839,100,0,57.44
1861,100,0,57.44
1883,100,0,57.44
1904,100,0,57.44
1926,100,0,57.44
1948,100,0,57.44
1969,100,0,57.44
1991,100,0,57.44
2013,100,0,57.44
2034,100,0,57.44
2056,100,0,57.44
2078,100,0,57.44
2099,100,0,57.44
2121,100,0,57.44
2143,100,0,57.44
2164,100,0,57.44
2186,100,0,57.44
2208,100,0,57.44
2230,100,0,57.44
2251,100,0,57.44
2273,100,0,57.44
2295,100,0,57.44
2316,100,0,57.44
2338,100,0,57.44
2360,100,0,57.44
2381,100,0,57.44
2403,100,0,57.44
2425,100,0,57.44
2446,100,0,57.44
2468,100,0,57.44
2490,100,0,57.44
2511,100,0,57.44
2537,100,0,57.44
2559,100,0,57.44
2580,100,0,57.44
2602,100,0,57.44
2624,100,0,57.44
2645,100,0,57.44
2667,100,0,57.44
2689,100,0,57.44
2710,100,0,57.44
2732,100,0,57.44
2754,100,0,57.44
2775,100,0,57.44
2797,100,0,57.44
2819,100,0,57.44
2840,100,0,57.44
2862,100,0,57.44
2884,100,0,57.44
2905,100,0,57.44
2927,100,0,57.44
2949,100,0,57.44
2970,100,0,57.44
2992,100,0,57.44
3014,100,0,57.44
3035,100,0,57.44
3057,100,0,57.44
3079,100,0,57.44
3100,100,0,57.44
3122,100,0,57.44
3144,100,0,57.44
3166,100,0,57.44
3187,100,0,57.44
3209,100,0,57.44
3231,100,0,57.44
3252,100,0,57.44
3274,100,0,57.44
3296,100,0,57.44
3317,100,0,57.44
3339,100,0,57.44
3361,100,0,57.44
3382,100,0,57.44
3404,100,0,57.44
3426,100,0,57.44
3447,100,0,57.44
3469,100,0,57.44
3491,100,0,57.44
3512,100,0,57.44
3534,100,0,57.44
3556,100,0,57.44
3577,100,0,57.44
3599,100,0,57.44
3621,100,0,57.44
3643,100,0,57.44
3664,100,0,57.44
3686,100,0,57.44
3708,100,0,57.44
3729,100,0,57.44
3751,100,0,57.44
3773,100,0,57.44
3794,100,0,57.44
3816,100,0,57.44
3838,100,0,57.44
3859,100,0,57.44
3881,100,0,57.44
3903,100,0,57.44
3924,100,0,57.44
3946,100,0,57.44
3968,100,0,57.44
3989,100,0,57.44
4011,100,0,57.44
4033,100,0,57.44
4055,100,0,57.44
4076,100,0,57.44
4098,100,0,57.44
4120,100,0,57.44
4141,100,0,57.44
4163,100,0,57.44
4185,100,0,57.44
4206,100,0,57.44
4228,100,0,57.44
4250,100,0,57.44
4271,100,0,57.44
4293,100,0,57.44
4315,100,0,57.44
4336,100,0,57.44
4358,100,0,57.44
4380,100,0,57.44
4401,100,0,57.44
4423,100,0,57.44
4445,100,0,57.44
4467,100,0,57.44
4488,100,0,57.44
4510,100,0,57.44
4532,100,0,57.44
4553,100,0,57.44
4575,100,0,57.44
4597,100,0,57.44
4618,100,0,57.44
4640,100,0,57.44
4662,100,0,57.44
4683,100,0,57.44
4705,100,0,57.44
4727,100,0,57.44
4748,100,0,57.44
4770,100,0,57.44
4792,100,0,57.44
4813,100,0,57.44
4835,100,0,57.44
4857,100,0,57.44
4879,100,0,57.44
4900,100,0,57.44
4922,100,0,57.44
4944,100,0,57.44
4965,100,0,57.44
4987,100,0,57.44
5013,100,0,57.44
5035,100,0,57.44
5056,100,0,57.44
5078,100,0,57.44
5100,100,0,57.44
5121,100,0,57.44
5143,100,0,57.44
5165,100,0,57.44
5186,100,0,57.44
5208,100,0,57.44
5230,100,0,57.44
5251,100,0,57.44
5273,100,0,57.44
5295,100,0,57.44
5316,100,0,57.44
5338,100,0,57.44
5360,100,0,57.44
5381,100,0,57.44
5403,100,0,57.44
5425,100,0,57.44
5447,100,0,57.44
5468,100,0,57.44
5490,100,0,57.44
