[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,57.20
22,100,0,57.20
43,100,0,57.20
65,100,0,57.20
86,100,0,57.20
108,100,0,57.20
130,100,0,57.20
151,100,0,57.20
173,100,0,57.20
194,100,0,57.20
216,100,0,57.20
238,100,0,57.20
259,100,0,57.20
281,100,0,57.20
303,100,0,57.20
324,100,0,57.20
346,100,0,57.20
367,100,0,57.20
389,100,0,57.20
411,100,0,57.20
432,100,0,57.20
454,100,0,57.20
475,100,0,57.20
497,100,0,57.20
519,100,0,57.20
540,100,0,57.20
562,100,0,57.20
584,100,0,57.20
605,100,0,57.20
627,100,0,57.20
648,100,0,57.20
670,100,0,57.20
692,100,0,57.20
713,100,0,57.20
735,100,0,57.20
757,100,0,57.20
778,100,0,57.20
800,100,0,57.20
821,100,0,57.20
843,100,0,57.20
865,100,0,57.20
886,100,0,57.20
908,100,0,57.20
929,100,0,57.20
951,100,0,57.20
973,100,0,57.20
994,100,0,57.20
1016,100,0,57.20
1038,100,0,57.20
1059,100,0,57.20
1081,100,0,57.20
1103,100,0,57.20
1124,100,0,57.20
1146,100,0,57.20
1168,100,0,57.20
1189,100,0,57.20
1211,100,0,57.20
1233,100,0,57.20
1254,100,0,57.20
1276,100,0,57.20
1298,100,0,57.20
1319,100,0,57.20
1341,100,0,57.20
1363,100,0,57.20
1384,100,0,57.20
1406,100,0,57.20
1428,100,0,57.20
1449,100,0,57.20
1471,100,0,57.20
1493,100,0,57.20
1515,100,0,57.20
1536,100,0,57.20
1558,100,0,57.20
1580,100,0,57.20
1601,100,0,57.20
1623,100,0,57.20
1645,100,0,57.20
1666,100,0,57.20
1688,100,0,57.20
1710,100,0,57.20
1731,100,0,57.20
1753,100,0,57.20
1775,100,0,57.20
1796,100,0,57.20
1818,100,0,57.20
1840,100,0,57.20
1861,100,0,57.20
1883,100,0,57.20
1905,100,0,57.20
1926,100,0,57.20
1948,100,0,57.20
1970,100,0,57.20
1991,100,0,57.20
2013,100,0,57.20
2035,100,0,57.20
2056,100,0,57.20
2078,100,0,57.20
2100,100,0,57.20
2122,100,0,57.20
2143,100,0,57.20
2165,100,0,57.20
2187,100,0,57.20
2208,100,0,57.20
2230,100,0,57.20
2252,100,0,57.20
2273,100,0,57.20
2295,100,0,57.20
2317,100,0,57.20
2338,100,0,57.20
2360,100,0,57.20
2382,100,0,57.20
2403,100,0,57.20
2425,100,0,57.20
2447,100,0,57.20
2468,100,0,57.20
2490,100,0,57.20
2512,100,0,57.20
2537,100,0,57.20
2559,100,0,57.20
2581,100,0,57.20
2602,100,0,57.20
2624,100,0,57.20
2646,100,0,57.20
2667,100,0,57.20
2689,100,0,57.20
2711,100,0,57.20
2732,100,0,57.20
2754,100,0,57.20
2776,100,0,57.20
2797,100,0,57.20
2819,100,0,57.20
2841,100,0,57.20
2862,100,0,57.20
2884,100,0,57.20
2906,100,0,57.20
2928,100,0,57.20
2949,100,0,57.20
2971,100,0,57.20
2993,100,0,57.20
3014,100,0,57.20
3036,100,0,57.20
3058,100,0,57.20
3079,100,0,57.20
3101,100,0,57.20
3123,100,0,57.20
3144,100,0,57.20
3166,100,0,57.20
3188,100,0,57.20
3209,100,0,57.20
3231,100,0,57.20
3253,100,0,57.20
3274,100,0,57.20
3296,100,0,57.20
3318,100,0,57.20
3339,100,0,57.20
3361,100,0,57.20
3383,100,0,57.20
3404,100,0,57.20
3426,100,0,57.20
3448,100,0,57.20
3470,100,0,57.20
3491,100,0,57.20
3513,100,0,57.20
3535,100,0,57.20
3556,100,0,57.20
3578,100,0,57.20
3600,100,0,57.20
3621,100,0,57.20
3643,100,0,57.20
3665,100,0,57.20
3686,100,0,57.20
3708,100,0,57.20
3730,100,0,57.20
3751,100,0,57.20
3773,100,0,57.20
3795,100,0,57.20
3816,100,0,57.20
3838,100,0,57.20
3860,100,0,57.20
3882,100,0,57.20
3903,100,0,57.20
3925,100,0,57.20
3947,100,0,57.20
3968,100,0,57.20
3990,100,0,57.20
4012,100,0,57.20
4033,100,0,57.20
4055,100,0,57.20
4077,100,0,57.20
4098,100,0,57.20
4120,100,0,57.20
4142,100,0,57.20
4163,100,0,57.20
4185,100,0,57.20
4207,100,0,57.20
4228,100,0,57.20
