[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,56.65
22,100,0,56.65
43,100,0,56.65
65,100,0,56.65
87,100,0,56.65
108,100,0,56.65
130,100,0,56.65
151,100,0,56.65
173,100,0,56.65
195,100,0,56.65
216,100,0,56.65
238,100,0,56.65
260,100,0,56.65
281,100,0,56.65
303,100,0,56.65
324,100,0,56.65
346,100,0,56.65
368,100,0,56.65
389,100,0,56.65
411,100,0,56.65
433,100,0,56.65
454,100,0,56.65
476,100,0,56.65
497,100,0,56.65
519,100,0,56.65
541,100,0,56.65
562,100,0,56.65
584,100,0,56.65
605,100,0,56.65
627,100,0,56.65
649,100,0,56.65
670,100,0,56.65
692,100,0,56.65
714,100,0,56.65
735,100,0,56.65
757,100,0,56.65
778,100,0,56.65
800,100,0,56.65
822,100,0,56.65
843,100,0,56.65
865,100,0,56.65
887,100,0,56.65
908,100,0,56.65
930,100,0,56.65
951,100,0,56.65
973,100,0,56.65
995,100,0,56.65
1016,100,0,56.65
1038,100,0,56.65
1060,100,0,56.65
1081,100,0,56.65
1103,100,0,56.65
1125,100,0,56.65
1146,100,0,56.65
1168,100,0,56.65
1190,100,0,56.65
1212,100,0,56.65
1233,100,0,56.65
1255,100,0,56.65
1277,100,0,56.65
1298,100,0,56.65
1320,100,0,56.65
1342,100,0,56.65
1363,100,0,56.65
1385,100,0,56.65
1407,100,0,56.65
1428,100,0,56.65
1450,100,0,56.65
1472,100,0,56.65
1494,100,0,56.65
1515,100,0,56.65
1537,100,0,56.65
1559,100,0,56.65
1580,100,0,56.65
1602,100,0,56.65
1624,100,0,56.65
1645,100,0,56.65
1667,100,0,56.65
1689,100,0,56.65
1710,100,0,56.65
1732,100,0,56.65
1754,100,0,56.65
1776,100,0,56.65
1797,100,0,56.65
1819,100,0,56.65
1841,100,0,56.65
1862,100,0,56.65
1884,100,0,56.65
1906,100,0,56.65
1927,100,0,56.65
1949,100,0,56.65
1971,100,0,56.65
1993,100,0,56.65
2014,100,0,56.65
2036,100,0,56.65
2058,100,0,56.65
2079,100,0,56.65
2101,100,0,56.65
2123,100,0,56.65
2144,100,0,56.65
2166,100,0,56.65
2188,100,0,56.65
2210,100,0,56.65
2231,100,0,56.65
2253,100,0,56.65
2275,100,0,56.65
2296,100,0,56.65
2318,100,0,56.65
2340,100,0,56.65
2361,100,0,56.65
2383,100,0,56.65
2405,100,0,56.65
2426,100,0,56.65
2448,100,0,56.65
2470,100,0,56.65
2492,100,0,56.65
2513,100,0,56.65
2539,100,0,56.65
2560,100,0,56.65
2582,100,0,56.65
2604,100,0,56.65
2626,100,0,56.50
2647,100,0,56.50
2669,100,0,56.50
2691,100,0,56.50
2712,100,0,56.50
2734,100,0,56.50
2756,100,0,56.50
2777,100,0,56.50
2799,100,0,56.50
2821,100,0,56.50
2843,100,0,56.50
2864,100,0,56.50
2886,100,0,56.50
2908,100,0,56.50
2929,100,0,56.50
2951,100,0,56.50
2973,100,0,56.50
2994,100,0,56.50
3016,100,0,56.50
3038,100,0,56.50
3060,100,0,56.50
3081,100,0,56.50
3103,100,0,56.50
3125,100,0,56.50
3146,100,0,56.50
3168,100,0,56.50
3190,100,0,56.50
3212,100,0,56.50
3233,100,0,56.50
3255,100,0,56.50
3277,100,0,56.50
3298,100,0,56.50
3320,100,0,56.50
3342,100,0,56.50
3363,100,0,56.50
3385,100,0,56.50
3407,100,0,56.50
3429,100,0,56.50
3450,100,0,56.50
3472,100,0,56.50
3494,100,0,56.50
3515,100,0,56.50
3537,100,0,56.50
3559,100,0,56.50
3581,100,0,56.50
3602,100,0,56.50
3624,100,0,56.50
3646,100,0,56.50
3667,100,0,56.50
3689,100,0,56.50
3711,100,0,56.50
3732,100,0,56.50
3754,100,0,56.50
3776,100,0,56.50
3798,100,0,56.50
3819,100,0,56.50
3841,100,0,56.50
3863,100,0,56.50
3884,100,0,56.50
3906,100,0,56.50
3928,100,0,56.50
3949,100,0,56.50
3971,100,0,56.50
3993,100,0,56.50
4015,100,0,56.50
4036,100,0,56.50
4058,100,0,56.50
4080,100,0,56.50
4101,100,0,56.50
4123,100,0,56.50
4145,100,0,56.50
4167,100,0,56.50
4188,100,0,56.50
4210,100,0,56.50
4232,100,0,56.50
4253,100,0,56.50
