[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,57.10
22,100,0,57.10
43,100,0,57.10
65,100,0,57.10
87,100,0,57.10
108,100,0,57.10
130,100,0,57.10
151,100,0,57.10
173,100,0,57.10
195,100,0,57.10
216,100,0,57.10
238,100,0,57.10
259,100,0,57.10
281,100,0,57.10
303,100,0,57.10
324,100,0,57.10
346,100,0,57.10
367,100,0,57.10
389,100,0,57.10
411,100,0,57.10
432,100,0,57.10
454,100,0,57.10
475,100,0,57.10
497,100,0,57.10
519,100,0,57.10
540,100,0,57.10
562,100,0,57.10
583,100,0,57.10
605,100,0,57.10
627,100,0,57.10
648,100,0,57.10
670,100,0,57.10
691,100,0,57.10
713,100,0,57.10
735,100,0,57.10
756,100,0,57.10
778,100,0,57.10
799,100,0,57.10
821,100,0,57.10
843,100,0,57.10
864,100,0,57.10
886,100,0,57.10
908,100,0,57.10
929,100,0,57.10
951,100,0,57.10
972,100,0,57.10
994,100,0,57.10
1016,100,0,57.10
1037,100,0,57.10
1059,100,0,57.10
1081,100,0,57.10
1102,100,0,57.10
1124,100,0,57.10
1146,100,0,57.10
1167,100,0,57.10
1189,100,0,57.10
1211,100,0,57.10
1232,100,0,57.10
1254,100,0,57.10
1276,100,0,57.10
1297,100,0,57.10
1319,100,0,57.10
1341,100,0,57.10
1362,100,0,57.10
1384,100,0,57.10
1406,100,0,57.10
1427,100,0,57.10
1449,100,0,57.10
1471,100,0,57.10
1492,100,0,57.10
1514,100,0,57.10
1536,100,0,57.10
1557,100,0,57.10
1579,100,0,57.10
1601,100,0,57.10
1622,100,0,57.10
1644,100,0,57.10
1666,100,0,57.10
1687,100,0,57.10
1709,100,0,57.10
1731,100,0,57.10
1752,100,0,57.10
1774,100,0,57.10
1796,100,0,57.10
1817,100,0,57.10
1839,100,0,57.10
1861,100,0,57.10
1882,100,0,57.10
1904,100,0,57.10
1926,100,0,57.10
1947,100,0,57.10
1969,100,0,57.10
1991,100,0,57.10
2012,100,0,57.10
2034,100,0,57.10
2056,100,0,57.10
2077,100,0,57.10
2099,100,0,57.10
2121,100,0,57.10
2142,100,0,57.10
2164,100,0,57.10
2186,100,0,57.10
2207,100,0,57.10
2229,100,0,57.10
2251,100,0,57.10
2272,100,0,57.10
2294,100,0,57.10
2316,100,0,57.10
2337,100,0,57.10
2359,100,0,57.10
2381,100,0,57.10
2402,100,0,57.10
2424,100,0,57.10
2446,100,0,57.10
2467,100,0,57.10
2489,100,0,57.10
2511,100,0,57.10
2536,100,0,57.10
2558,100,0,57.10
2580,100,0,57.10
2601,100,0,57.10
2623,100,0,57.10
2645,100,0,57.10
2666,100,0,57.10
2688,100,0,57.10
2710,100,0,57.10
2731,100,0,57.10
2753,100,0,57.10
2775,100,0,57.10
2796,100,0,57.10
2818,100,0,57.10
2840,100,0,57.10
2861,100,0,57.10
2883,100,0,57.10
2905,100,0,57.10
2926,100,0,57.10
2948,100,0,57.10
2970,100,0,57.10
2991,100,0,57.10
3013,100,0,57.10
3035,100,0,57.10
3056,100,0,57.10
3078,100,0,57.10
3100,100,0,57.10
3121,100,0,57.10
3143,100,0,57.10
3165,100,0,57.10
3186,100,0,57.10
3208,100,0,57.10
3230,100,0,57.10
3251,100,0,57.10
3273,100,0,57.10
3295,100,0,57.10
3316,100,0,57.10
3338,100,0,57.10
3360,100,0,57.10
3381,100,0,57.10
3403,100,0,57.10
3425,100,0,57.10
3446,100,0,57.10
3468,100,0,57.10
3490,100,0,57.10
3511,100,0,57.10
3533,100,0,57.10
3555,100,0,57.10
3576,100,0,57.10
3598,100,0,57.10
3620,100,0,57.10
3641,100,0,57.10
3663,100,0,57.10
3685,100,0,57.10
3706,100,0,57.10
3728,100,0,57.10
3750,100,0,57.10
3771,100,0,57.10
3793,100,0,57.10
3815,100,0,57.10
3836,100,0,57.10
3858,100,0,57.10
3880,100,0,57.10
3901,100,0,57.10
3923,100,0,57.10
3945,100,0,57.10
3966,100,0,57.10
3988,100,0,57.10
4010,100,0,57.10
4031,100,0,57.10
4053,100,0,57.10
4075,100,0,57.10
4096,100,0,57.10
4118,100,0,57.10
4140,100,0,57.10
4161,100,0,57.10
4183,100,0,57.10
4205,100,0,57.10
4227,100,0,57.10
4248,100,0,57.10
4270,100,0,57.10
4292,100,0,57.10
4313,100,0,57.10
4335,100,0,57.10
4357,100,0,57.10
4378,100,0,57.10
4400,100,0,57.10
4422,100,0,57.10
4443,100,0,57.10
4465,100,0,57.10
4487,100,0,57.10
4508,100,0,57.10
4530,100,0,57.10
4552,100,0,57.18
4573,100,0,57.18
4595,100,0,57.18
4617,100,0,57.18
4638,100,0,57.18
4660,100,0,57.18
4682,100,0,57.18
4703,100,0,57.18
4725,100,0,57.18
4747,100,0,57.18
4768,100,0,57.18
4790,100,0,57.18
4812,100,0,57.18
4833,100,0,57.18
4855,100,0,57.18
4877,100,0,57.18
4898,100,0,57.18
4920,100,0,57.18
4942,100,0,57.18
4963,100,0,57.18
4985,100,0,57.18
5011,100,0,57.18
5033,100,0,57.18
5054,100,0,57.18
5076,100,0,57.18
5097,100,0,57.18
5119,100,0,57.18
5141,100,0,57.18
5162,100,0,57.18
5184,100,0,57.18
5206,100,0,57.18
5228,100,0,57.18
5249,100,0,57.18
5271,100,0,57.18
5293,100,0,57.18
5314,100,0,57.18
5336,100,0,57.18
5358,100,0,57.18
5379,100,0,57.18
5401,100,0,57.18
5423,100,0,57.18
5444,100,0,57.18
5466,100,0,57.18
5488,100,0,57.18
5509,100,0,57.18
5531,100,0,57.18
5553,100,0,57.18
5574,100,0,57.18
5596,100,0,57.18
5618,100,0,57.18
5639,100,0,57.18
5661,100,0,57.18
5683,100,0,57.18
5704,100,0,57.18
5726,100,0,57.18
5748,100,0,57.18
5769,100,0,57.18
5791,100,0,57.18
5813,100,0,57.18
5834,100,0,57.18
5856,100,0,57.18
5878,100,0,57.18
5899,100,0,57.18
5921,100,0,57.18
5943,100,0,57.18
5964,100,0,57.18
5986,100,0,57.18
6008,100,0,57.18
6029,100,0,57.18
6051,100,0,57.18
6073,100,0,57.18
6094,100,0,57.18
6116,100,0,57.18
6138,100,0,57.18
6159,100,0,57.18
6181,100,0,57.18
6203,100,0,57.18
6224,100,0,57.18
6246,100,0,57.18
6268,100,0,57.18
6289,100,0,57.18
6311,100,0,57.18
6333,100,0,57.18
6354,100,0,57.18
6376,100,0,57.18
6398,100,0,57.18
6419,100,0,57.18
6441,100,0,57.18
6463,100,0,57.18
6484,100,0,57.18
6506,100,0,57.18
6528,100,0,57.18
6549,100,0,57.18
6571,100,0,57.18
6593,100,0,57.18
6614,100,0,57.18
6636,100,0,57.18
6658,100,0,57.18
6679,100,0,57.18
6701,100,0,57.18
6723,100,0,57.18
6744,100,0,57.18
6766,100,0,57.18
6788,100,0,57.18
6810,100,0,57.18
6831,100,0,57.18
6853,100,0,57.18
6875,100,0,57.18
6896,100,0,57.18
6918,100,0,57.18
6940,100,0,57.18
