[Timestamp_micros,aout_speed_uint8,din_hall0,speed_measured_hz]
0,100,0,56.45
100,100,0,56.45
200,100,0,56.45
300,100,0,56.45
400,100,0,56.45
500,100,0,56.45
600,100,0,56.45
700,100,0,56.45
800,100,0,56.45
900,100,0,56.45
1000,100,0,56.45
1100,100,0,56.45
1200,100,0,56.45
1300,100,0,56.45
1400,100,0,56.45
1500,100,0,56.45
1600,100,0,56.45
1700,100,0,56.45
1800,100,0,56.45
1900,100,0,56.45
2000,100,0,56.45
2100,100,0,56.45
2200,100,0,56.45
2300,100,0,56.45
2400,100,0,56.45
2500,100,0,56.45
2600,100,0,56.45
2700,100,0,56.45
2800,100,0,56.45
2900,100,0,56.45
3000,100,0,56.45
3100,100,0,56.45
3200,100,0,56.45
3300,100,0,56.45
3400,100,0,56.45
3500,100,0,56.45
3600,100,0,56.45
3700,100,0,56.45
3800,100,0,56.45
3900,100,0,56.45
4000,100,0,56.45
4100,100,0,56.45
4200,100,0,56.45
4300,100,0,56.45
4400,100,0,56.45
4500,100,1,56.45
4600,100,1,56.45
4700,100,1,56.45
4800,100,1,56.45
4900,100,1,56.45
5000,100,1,56.45
5100,100,1,56.45
5200,100,1,56.45
5300,100,1,56.45
5400,100,1,56.45
5500,100,1,56.45
5600,100,1,56.45
5700,100,1,56.45
5800,100,1,56.45
5900,100,1,56.45
6000,100,1,56.45
6100,100,1,56.45
6200,100,1,56.45
6300,100,1,56.45
6400,100,1,56.45
6500,100,1,56.45
6600,100,1,56.45
6700,100,1,56.45
6800,100,1,56.45
6900,100,1,56.45
7000,100,1,56.45
7100,100,1,56.45
7200,100,1,56.45
7300,100,1,56.45
7400,100,1,56.45
7500,100,1,56.45
7600,100,1,56.45
7700,100,1,56.45
7800,100,1,56.45
7900,100,1,56.45
8000,100,1,56.45
8100,100,1,56.45
8200,100,1,56.45
8300,100,1,56.45
8400,100,1,56.45
8500,100,1,56.45
8600,100,1,56.45
8700,100,1,56.45
8800,100,1,56.45
8900,100,1,56.45
9000,100,1,56.45
9100,100,1,56.45
9200,100,1,56.45
9300,100,1,56.45
9400,100,1,56.45
9500,100,1,56.45
9600,100,1,56.45
9700,100,1,56.45
9800,100,1,56.45
9900,100,1,56.45
10000,100,1,56.45
10100,100,1,56.45
10200,100,1,56.45
10300,100,1,56.45
10400,100,1,56.45
10500,100,1,56.45
10600,100,1,56.45
10700,100,1,56.45
10800,100,1,56.45
10900,100,1,56.45
11000,100,1,56.45
11100,100,1,56.45
11200,100,1,56.45
11300,100,1,56.45
11400,100,1,56.45
11500,100,1,56.45
11600,100,1,56.45
11700,100,1,56.45
11800,100,1,56.45
11900,100,1,56.45
12000,100,1,56.45
12100,100,1,56.45
12200,100,1,56.45
12300,100,1,56.45
12400,100,1,56.45
12500,100,1,56.45
12600,100,1,56.45
12700,100,1,56.45
12800,100,1,56.45
12900,100,1,56.45
13000,100,1,56.45
13100,100,1,56.45
13200,100,0,57.62
13300,100,0,57.62
13400,100,0,57.62
13500,100,0,57.62
