[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,57.33
21,100,0,57.33
43,100,0,57.33
65,100,0,57.33
86,100,0,57.33
108,100,0,57.33
129,100,0,57.33
151,100,0,57.33
173,100,0,57.33
194,100,0,57.33
216,100,0,57.33
237,100,0,57.33
259,100,0,57.33
281,100,0,57.33
302,100,0,57.33
324,100,0,57.33
346,100,0,57.33
367,100,0,57.33
389,100,0,57.33
410,100,0,57.33
432,100,0,57.33
454,100,0,57.33
475,100,0,57.33
497,100,0,57.33
519,100,0,57.33
540,100,0,57.33
562,100,0,57.33
583,100,0,57.33
605,100,0,57.33
627,100,0,57.33
648,100,0,57.33
670,100,0,57.33
692,100,0,57.33
713,100,0,57.33
735,100,0,57.33
756,100,0,57.33
778,100,0,57.33
800,100,0,57.33
821,100,0,57.33
843,100,0,57.33
864,100,0,57.33
886,100,0,57.33
908,100,0,57.33
929,100,0,57.33
951,100,0,57.33
973,100,0,57.33
994,100,0,57.33
1016,100,0,57.33
1037,100,0,57.33
1059,100,0,57.33
1081,100,0,57.33
1102,100,0,57.33
1124,100,0,57.33
1146,100,0,57.33
1167,100,0,57.33
1189,100,0,57.33
1211,100,0,57.33
1233,100,0,57.33
1254,100,0,57.33
1276,100,0,57.33
1298,100,0,57.33
1319,100,0,57.33
1341,100,0,57.33
1363,100,0,57.33
1384,100,0,57.33
1406,100,0,57.33
1428,100,0,57.33
1449,100,0,57.33
1471,100,0,57.33
1493,100,0,57.33
1514,100,0,57.33
1536,100,0,57.33
1558,100,0,57.33
1579,100,0,57.33
1601,100,0,57.33
1623,100,0,57.33
1644,100,0,57.33
1666,100,0,57.33
1688,100,0,57.33
1709,100,0,57.33
1731,100,0,57.33
1753,100,0,57.33
1774,100,0,57.33
1796,100,0,57.33
1818,100,0,57.33
1840,100,0,57.33
1861,100,0,57.33
1883,100,0,57.33
1905,100,0,57.33
1926,100,0,57.33
1948,100,0,57.33
1970,100,0,57.33
1991,100,0,57.33
2013,100,0,57.33
2035,100,0,57.33
2056,100,0,57.33
2078,100,0,57.33
2100,100,0,57.33
2121,100,0,57.33
2143,100,0,57.33
2165,100,0,57.33
2186,100,0,57.33
2208,100,0,57.33
2230,100,0,57.33
2251,100,0,57.33
2273,100,0,57.33
2295,100,0,57.33
2317,100,0,57.33
2338,100,0,57.33
2360,100,0,57.33
2382,100,0,57.33
2403,100,0,57.33
2425,100,0,57.33
2447,100,0,57.33
2468,100,0,57.33
2490,100,0,57.33
2512,100,0,57.33
2537,100,0,57.33
2559,100,0,57.33
2581,100,0,57.33
2602,100,0,57.33
2624,100,0,57.33
2646,100,0,57.33
2667,100,0,57.33
2689,100,0,57.33
2711,100,0,57.33
2732,100,0,57.33
2754,100,0,57.33
2776,100,0,57.33
2797,100,0,57.33
2819,100,0,57.33
2841,100,0,57.33
2862,100,0,57.33
2884,100,0,57.33
2906,100,0,57.33
2927,100,0,57.33
2949,100,0,57.33
2971,100,0,57.33
2992,100,0,57.33
3014,100,0,57.33
3036,100,0,57.33
3057,100,0,57.33
3079,100,0,57.33
3101,100,0,57.33
3122,100,0,57.33
3144,100,0,57.33
3166,100,0,57.33
3187,100,0,57.33
3209,100,0,57.33
3231,100,0,57.33
3253,100,0,57.33
3274,100,0,57.33
3296,100,0,57.33
3318,100,0,57.33
3339,100,0,57.33
3361,100,0,57.33
3383,100,0,57.33
3404,100,0,57.33
3426,100,0,57.33
3448,100,0,57.33
3469,100,0,57.33
3491,100,0,57.33
3513,100,0,57.33
3534,100,0,57.33
3556,100,0,57.33
3578,100,0,57.33
3599,100,0,57.33
3621,100,0,57.33
3643,100,0,57.33
3665,100,0,57.33
3686,100,0,57.33
3708,100,0,57.33
3730,100,0,57.33
3751,100,0,57.33
3773,100,0,57.33
3795,100,0,57.33
3816,100,0,57.33
3838,100,0,57.33
3860,100,0,57.33
3881,100,0,57.33
3903,100,0,57.33
3925,100,0,57.33
3946,100,0,57.33
3968,100,0,57.33
3990,100,0,57.33
4011,100,0,57.33
4033,100,0,57.33
4055,100,0,57.33
4077,100,0,57.33
4098,100,0,57.33
4120,100,0,57.33
4142,100,0,57.33
4163,100,0,57.33
4185,100,0,57.33
4207,100,0,57.33
4228,100,0,57.33
4250,100,0,57.33
4272,100,0,57.33
4293,100,0,57.33
4315,100,0,57.33
4337,100,0,57.33
4358,100,0,57.33
4380,100,0,57.33
4402,100,0,57.33
4424,100,0,57.33
4445,100,0,57.33
4467,100,0,57.33
4489,100,0,57.33
4510,100,0,57.33
4532,100,0,57.33
4554,100,0,57.33
4575,100,0,57.33
4597,100,0,57.33
4619,100,0,57.33
4640,100,0,57.33
4662,100,0,57.33
4684,100,0,57.33
4705,100,0,57.33
4727,100,0,57.33
4749,100,0,57.33
4770,100,0,57.33
4792,100,0,57.33
4814,100,0,57.33
4836,100,0,57.33
4857,100,0,57.33
4879,100,0,57.33
4901,100,0,57.33
4922,100,0,57.33
4944,100,0,57.33
4966,100,0,57.33
4987,100,0,57.33
5013,100,0,57.33
5035,100,0,57.33
5057,100,0,57.33
5078,100,0,57.33
5100,100,0,57.33
5122,100,0,57.33
5143,100,0,57.33
5165,100,0,57.33
5187,100,0,57.33
5208,100,0,57.33
5230,100,0,57.33
5252,100,0,57.33
5273,100,0,57.33
5295,100,0,57.33
5317,100,0,57.33
5338,100,0,57.33
5360,100,0,57.33
5382,100,0,57.33
5403,100,0,57.33
5425,100,0,57.33
5447,100,0,57.33
5469,100,0,57.33
5490,100,0,57.33
5512,100,0,57.33
5534,100,0,57.33
5555,100,0,57.33
5577,100,0,57.33
5599,100,0,57.33
5620,100,0,57.33
5642,100,0,57.33
5664,100,0,57.33
5685,100,0,57.33
5707,100,0,57.33
5729,100,0,57.33
5750,100,0,57.33
5772,100,0,57.33
5794,100,0,57.33
5816,100,0,57.33
5837,100,0,57.33
5859,100,0,57.33
5881,100,0,57.33
5902,100,0,57.33
5924,100,0,57.33
5946,100,0,57.33
5967,100,0,57.33
5989,100,0,57.33
6011,100,0,57.33
6032,100,0,57.33
6054,100,0,57.33
6076,100,0,57.33
6097,100,0,57.33
6119,100,0,57.33
6141,100,0,57.33
6162,100,0,57.33
6184,100,0,57.33
6206,100,0,57.33
6228,100,0,57.33
6249,100,0,57.33
6271,100,0,57.33
6293,100,0,57.33
6314,100,0,57.33
6336,100,0,57.33
6358,100,0,57.33
6379,100,0,57.33
6401,100,0,57.33
6423,100,0,57.33
6444,100,0,57.33
6466,100,0,57.33
6488,100,0,57.33
6509,100,0,57.33
6531,100,0,57.33
6553,100,0,57.33
6574,100,0,57.33
6596,100,0,57.33
6618,100,0,57.33
6640,100,0,57.33
6661,100,0,57.33
6683,100,0,57.33
6705,100,0,57.33
6726,100,0,57.33
6748,100,0,57.33
6770,100,0,57.33
6791,100,0,57.33
6813,100,0,57.33
6835,100,0,57.33
6856,100,0,57.33
6878,100,0,57.33
6900,100,0,57.33
6921,100,0,57.33
6943,100,0,57.33
6965,100,0,57.33
6986,100,0,57.33
7008,100,0,57.33
7030,100,0,57.33
7052,100,0,57.33
7073,100,0,57.33
7095,100,0,57.33
7117,100,0,57.33
7138,100,0,57.33
7160,100,0,57.33
7182,100,0,57.33
7203,100,0,57.33
7225,100,0,57.33
7247,100,0,57.33
7268,100,0,57.33
7290,100,0,57.33
7312,100,0,57.33
7333,100,0,57.33
7355,100,0,57.33
7377,100,0,57.33
7398,100,0,57.33
7420,100,0,57.33
7442,100,0,57.33
7464,100,0,57.33
7489,100,0,57.33
7511,100,0,57.33
7533,100,0,57.33
7554,100,0,57.33
7576,100,0,57.33
7598,100,0,57.33
7620,100,0,57.33
7641,100,0,57.33
7663,100,0,57.33
7685,100,0,57.33
7706,100,0,57.33
7728,100,0,57.33
7750,100,0,57.33
7771,100,0,57.33
7793,100,0,57.33
7815,100,0,57.33
7836,100,0,57.33
7858,100,0,57.33
7880,100,0,57.33
7901,100,0,57.33
7923,100,0,57.33
7945,100,0,57.33
7966,100,0,57.33
7988,100,0,57.33
8010,100,0,57.33
8032,100,0,57.33
8053,100,0,57.33
8075,100,0,57.33
8097,100,0,57.33
8118,100,0,57.33
8140,100,0,57.33
8162,100,0,57.33
8183,100,0,57.33
8205,100,0,57.33
8227,100,0,57.33
8248,100,0,57.33
8270,100,0,57.33
8292,100,0,57.33
8313,100,0,57.33
8335,100,0,57.33
8357,100,0,57.33
8378,100,0,57.33
8400,100,0,57.33
8422,100,0,57.33
8444,100,0,57.33
8465,100,0,57.33
8487,100,0,57.33
8509,100,0,57.33
8530,100,0,57.33
8552,100,0,57.33
8574,100,0,57.33
8595,100,0,57.33
8617,100,0,57.33
8639,100,0,57.33
8660,100,0,57.33
8682,100,0,57.33
8704,100,0,57.33
8725,100,0,57.33
8747,100,0,57.33
8769,100,0,57.33
8790,100,0,57.33
8812,100,0,57.33
8834,100,0,57.33
8856,100,0,57.33
8877,100,0,57.33
8899,100,0,57.33
8921,100,0,57.33
8942,100,0,57.33
8964,100,0,57.33
8986,100,0,57.33
9007,100,0,57.33
9029,100,0,57.33
9051,100,0,57.33
9072,100,0,57.33
9094,100,0,57.33
9116,100,0,57.33
9137,100,0,57.33
9159,100,0,57.33
9181,100,0,57.33
9203,100,0,57.33
9224,100,0,57.33
9246,100,0,57.33
9268,100,0,57.33
9289,100,0,57.33
9311,100,0,57.33
9333,100,0,57.33
9354,100,0,57.33
9376,100,0,57.33
9398,100,0,57.33
9419,100,0,57.33
9441,100,0,57.33
9463,100,0,57.33
9484,100,0,57.33
9506,100,0,57.33
9528,100,0,57.33
9549,100,0,57.33
9571,100,0,57.33
9593,100,0,57.33
9615,100,0,57.33
9636,100,0,57.33
9658,100,0,57.33
9680,100,0,57.33
9701,100,0,57.33
9723,100,0,57.33
9745,100,0,57.33
9766,100,0,57.33
9788,100,0,57.33
9810,100,0,57.33
9831,100,0,57.33
9853,100,0,57.33
9875,100,0,57.33
9896,100,0,57.33
9918,100,0,57.33
9940,100,0,57.33
9966,100,0,57.33
9987,100,0,57.33
10009,100,0,57.33
10031,100,0,57.33
10053,100,0,57.33
10074,100,0,57.33
10096,100,0,57.33
10118,100,0,57.33
10140,100,0,57.33
10161,100,0,57.33
10183,100,0,57.33
10205,100,0,57.33
10226,100,0,57.33
10248,100,0,57.33
10270,100,0,57.33
10292,100,0,57.33
10313,100,0,57.33
10335,100,0,57.33
10357,100,0,57.33
10379,100,0,57.33
10400,100,0,57.33
10422,100,0,57.33
10444,100,0,57.33
10466,100,0,57.33
10487,100,0,57.33
10509,100,0,57.33
10531,100,0,57.33
10552,100,0,57.33
10574,100,0,57.33
10596,100,0,57.33
10618,100,0,57.33
10639,100,0,57.33
10661,100,0,57.33
10683,100,0,57.33
10705,100,0,57.33
10726,100,0,57.33
10748,100,0,57.33
10770,100,0,57.33
10792,100,0,57.33
10813,100,0,57.33
10835,100,0,57.33
10857,100,0,57.33
10879,100,0,57.33
10900,100,0,57.33
10922,100,0,57.33
10944,100,0,57.33
10965,100,0,57.33
10987,100,0,57.33
11009,100,0,57.33
11031,100,0,57.33
11052,100,0,57.33
11074,100,0,57.33
11096,100,0,57.33
11118,100,0,57.33
11139,100,0,57.33
11161,100,0,57.33
11183,100,0,57.33
11205,100,0,57.33
11226,100,0,57.33
11248,100,0,57.33
11270,100,0,57.33
11291,100,0,57.33
11313,100,0,57.33
11335,100,0,57.33
11357,100,0,57.33
11378,100,0,57.33
11400,100,0,57.33
11422,100,0,57.33
11444,100,0,57.33
11465,100,0,57.33
11487,100,0,57.33
11509,100,0,57.33
11531,100,0,57.33
11552,100,0,57.33
11574,100,0,57.33
11596,100,0,57.33
11617,100,0,57.33
11639,100,0,57.33
11661,100,0,57.33
11683,100,0,57.33
11704,100,0,57.33
11726,100,0,57.33
11748,100,0,57.33
11770,100,0,57.33
11791,100,0,57.33
11813,100,0,57.33
11835,100,0,57.33
11857,100,0,57.33
11878,100,0,57.33
11900,100,0,57.33
11922,100,0,57.33
11944,100,0,57.33
11965,100,0,57.33
11987,100,0,57.33
12009,100,0,57.33
12030,100,0,57.33
12052,100,0,57.33
12074,100,0,57.33
12096,100,0,57.33
12117,100,0,57.33
12139,100,0,57.33
12161,100,0,57.33
12183,100,0,57.33
12204,100,0,57.33
12226,100,0,57.33
12248,100,0,57.33
12270,100,0,57.33
12295,100,0,57.33
12317,100,0,57.33
12339,100,0,57.33
12361,100,0,57.33
12382,100,0,57.33
12404,100,0,57.33
12426,100,0,57.33
12448,100,0,57.33
12469,100,0,57.33
12491,100,0,57.33
12513,100,0,57.33
12534,100,0,57.33
12556,100,0,57.33
12578,100,0,57.33
12600,100,0,57.33
12621,100,0,57.33
12643,100,0,57.33
12665,100,0,57.33
12687,100,0,57.33
12708,100,0,57.33
12730,100,0,57.33
12752,100,0,57.33
12774,100,0,57.33
12795,100,0,57.33
12817,100,0,57.33
12839,100,0,57.33
12861,100,0,57.33
12882,100,0,57.33
12904,100,0,57.33
12926,100,0,57.33
12947,100,0,57.33
12969,100,0,57.33
12991,100,0,57.33
13013,100,0,57.33
13034,100,0,57.33
13056,100,0,57.33
13078,100,0,57.33
13100,100,0,57.33
13121,100,0,57.33
13143,100,0,57.33
13165,100,0,57.33
13186,100,0,57.33
13208,100,0,57.33
13230,100,0,57.33
13252,100,0,57.33
13273,100,0,57.33
13295,100,0,57.33
13317,100,0,57.33
13339,100,0,57.33
13360,100,0,57.33
13382,100,0,57.33
13404,100,0,57.33
13426,100,0,57.33
13447,100,0,57.33
13469,100,0,57.33
13491,100,0,57.33
13513,100,0,57.33
13534,100,0,57.33
13556,100,0,57.33
13578,100,0,57.33
13599,100,0,57.33
13621,100,0,57.33
13643,100,0,57.33
13665,100,0,57.33
13686,100,0,57.33
13708,100,0,57.33
13730,100,0,57.33
13752,100,0,57.33
13773,100,0,57.33
13795,100,0,57.33
13817,100,0,57.33
13839,100,0,57.33
13860,100,0,57.33
13882,100,0,57.33
13904,100,0,57.33
13925,100,0,57.33
13947,100,0,57.33
13969,100,0,57.33
13991,100,0,57.33
14012,100,0,57.33
14034,100,0,57.33
14056,100,0,57.33
14078,100,0,57.33
14099,100,0,57.33
14121,100,0,57.33
14143,100,0,57.33
14165,100,0,57.33
14186,100,0,57.33
14208,100,0,57.33
14230,100,0,57.33
14252,100,0,57.33
14273,100,0,57.33
14295,100,0,57.33
14317,100,0,57.33
14338,100,0,57.33
14360,100,0,57.33
14382,100,0,57.33
14404,100,0,57.33
14425,100,0,57.33
14447,100,0,57.33
14469,100,0,57.33
14491,100,0,57.33
14512,100,0,57.33
14534,100,0,57.33
14556,100,0,57.33
14577,100,0,57.33
14599,100,0,57.33
14621,100,0,57.33
14647,100,0,57.33
14669,100,0,57.33
14691,100,0,57.33
14712,100,0,57.33
14734,100,0,57.33
14756,100,0,57.33
14777,100,0,57.33
14799,100,0,57.33
14821,100,0,57.33
14843,100,0,57.33
14864,100,0,57.33
14886,100,0,57.33
14908,100,0,57.33
14930,100,0,57.33
14951,100,0,57.33
14973,100,0,57.33
14995,100,0,57.33
15016,100,0,57.33
15038,100,0,57.33
15060,100,0,57.33
15082,100,0,57.33
15103,100,0,57.33
15125,100,0,57.33
15147,100,0,57.33
15169,100,0,57.33
15190,100,0,57.33
15212,100,0,57.33
15234,100,0,57.33
15256,100,0,57.33
15277,100,0,57.33
15299,100,0,57.33
15321,100,0,57.33
15343,100,0,57.33
15364,100,0,57.33
15386,100,0,57.33
15408,100,0,57.33
15429,100,0,57.33
15451,100,0,57.33
15473,100,0,57.33
15495,100,0,57.33
15516,100,0,57.33
15538,100,0,57.33
15560,100,0,57.33
15582,100,0,57.33
15603,100,0,57.33
15625,100,0,57.33
15647,100,0,57.33
15669,100,0,57.33
15690,100,0,57.33
15712,100,0,57.33
15734,100,0,57.33
15756,100,0,57.33
15777,100,0,57.33
15799,100,0,57.33
15821,100,0,57.33
15842,100,0,57.33
15864,100,0,57.33
15886,100,0,57.33
15908,100,0,57.33
