[Timestamp_micros,aout_speed_uint8,bool_brake,speed_measured_hz]
0,100,0,58.00
22,100,0,58.00
43,100,0,58.00
65,100,0,58.00
86,100,0,58.00
108,100,0,58.00
130,100,0,58.00
151,100,0,58.00
173,100,0,58.00
195,100,0,58.00
216,100,0,58.00
238,100,0,58.00
259,100,0,58.00
281,100,0,58.00
303,100,0,58.00
324,100,0,58.00
346,100,0,58.00
368,100,0,58.00
389,100,0,58.00
411,100,0,58.00
432,100,0,58.00
454,100,0,58.00
476,100,0,58.00
497,100,0,58.00
519,100,0,58.00
541,100,0,58.00
562,100,0,58.00
584,100,0,58.00
605,100,0,58.00
627,100,0,58.00
649,100,0,58.00
670,100,0,58.00
692,100,0,58.00
714,100,0,58.00
735,100,0,58.00
757,100,0,58.00
778,100,0,58.00
800,100,0,58.00
822,100,0,58.00
843,100,0,58.00
865,100,0,58.00
887,100,0,58.00
908,100,0,58.00
930,100,0,58.00
952,100,0,58.00
973,100,0,58.00
995,100,0,58.00
1016,100,0,58.00
1038,100,0,58.00
1060,100,0,58.00
1081,100,0,58.00
1103,100,0,58.00
1125,100,0,58.00
1147,100,0,58.00
1168,100,0,58.00
1190,100,0,58.00
1212,100,0,58.00
1233,100,0,58.00
1255,100,0,58.00
1277,100,0,58.00
1298,100,0,58.00
1320,100,0,58.00
1342,100,0,58.00
1363,100,0,58.00
1385,100,0,58.00
1407,100,0,58.00
1429,100,0,58.00
1450,100,0,58.00
1472,100,0,58.00
1494,100,0,58.00
1515,100,0,58.00
1537,100,0,58.00
1559,100,0,58.00
1580,100,0,58.00
1602,100,0,58.00
1624,100,0,58.00
1646,100,0,58.00
1667,100,0,58.00
1689,100,0,58.00
1711,100,0,58.00
1732,100,0,58.00
1754,100,0,58.00
1776,100,0,58.00
1797,100,0,58.00
1819,100,0,58.00
1841,100,0,58.00
1863,100,0,58.00
1884,100,0,58.00
1906,100,0,58.00
1928,100,0,58.00
1949,100,0,58.00
1971,100,0,58.00
1993,100,0,58.00
2014,100,0,58.00
2036,100,0,58.00
2058,100,0,58.00
2079,100,0,58.00
2101,100,0,58.00
2123,100,0,58.00
2145,100,0,58.00
2166,100,0,58.00
2188,100,0,58.00
