[Timestamp_micros,aout_speed_uint8,din_hall0,speed_measured_hz]
0,150,1,128.97
100,150,1,128.97
200,150,1,128.97
300,150,1,128.97
400,150,1,128.97
500,150,1,128.97
600,150,1,128.97
700,150,1,128.97
800,150,1,128.97
900,150,1,128.97
1000,150,1,128.97
1100,150,1,128.97
1200,150,1,128.97
1300,150,1,128.97
1400,150,1,128.97
1500,150,1,128.97
1600,150,1,128.97
1700,150,1,128.97
1800,150,1,128.97
1900,150,1,128.97
2000,150,1,128.97
2100,150,1,128.97
2200,150,1,128.97
2300,150,1,128.97
2400,150,1,128.97
2500,150,1,128.97
2600,150,0,129.07
2700,150,0,129.07
2800,150,0,129.07
2900,150,0,129.07
3000,150,0,129.07
3100,150,0,129.07
3200,150,0,129.07
3300,150,0,129.07
3400,150,0,129.07
3500,150,0,129.07
3600,150,0,129.07
3700,150,0,129.07
3800,150,0,129.07
3900,150,0,129.07
4000,150,0,129.07
4100,150,0,129.07
4200,150,0,129.07
4300,150,0,129.07
4400,150,0,129.07
4500,150,0,129.07
4600,150,0,129.07
4700,150,0,129.07
4800,150,0,129.07
4900,150,0,129.07
5000,150,0,129.07
5100,150,0,129.07
5200,150,0,129.07
5300,150,0,129.07
5400,150,0,129.07
5500,150,0,129.07
5600,150,0,129.07
5700,150,0,129.07
5800,150,0,129.07
5900,150,0,129.07
6000,150,0,129.07
6100,150,0,129.07
6200,150,0,129.07
6300,150,0,129.07
6400,150,1,129.07
6500,150,1,129.07
6600,150,1,129.07
6700,150,1,129.07
6800,150,1,129.07
6900,150,1,129.07
7000,150,1,129.07
7100,150,1,129.07
7200,150,1,129.07
7300,150,1,129.07
7400,150,1,129.07
7500,150,1,129.07
7600,150,1,129.07
7700,150,1,129.07
7800,150,1,129.07
7900,150,1,129.07
8000,150,1,129.07
8100,150,1,129.07
8200,150,1,129.07
8300,150,1,129.07
8400,150,1,129.07
8500,150,1,129.07
8600,150,1,129.07
8700,150,1,129.07
8800,150,1,129.07
8900,150,1,129.07
9000,150,1,129.07
9100,150,1,129.07
9200,150,1,129.07
9300,150,1,129.07
9400,150,1,129.07
9500,150,1,129.07
9600,150,1,129.07
9700,150,1,129.07
9800,150,1,129.07
9900,150,1,129.07
10000,150,1,129.07
10100,150,1,129.07
10200,150,1,129.07
10300,150,0,128.90
10400,150,0,128.90
10500,150,0,128.90
10600,150,0,128.90
10700,150,0,128.90
10800,150,0,128.90
10900,150,0,128.90
11000,150,0,128.90
11100,150,0,128.90
11200,150,0,128.90
11300,150,0,128.90
11400,150,0,128.90
11500,150,0,128.90
11600,150,0,128.90
11700,150,0,128.90
11800,150,0,128.90
11900,150,0,128.90
12000,150,0,128.90
12100,150,0,128.90
12200,150,0,128.90
12300,150,0,128.90
12400,150,0,128.90
12500,150,0,128.90
12600,150,0,128.90
12700,150,0,128.90
12800,150,0,128.90
12900,150,0,128.90
13000,150,0,128.90
13100,150,0,128.90
13200,150,0,128.90
13300,150,0,128.90
13400,150,0,128.90
13500,150,0,128.90
13600,150,0,128.90
13700,150,0,128.90
13800,150,0,128.90
13900,150,0,128.90
14000,150,0,128.90
14100,150,0,128.90
14200,150,1,128.90
14300,150,1,128.90
14400,150,1,128.90
14500,150,1,128.90
14600,150,1,128.90
14700,150,1,128.90
14800,150,1,128.90
14900,150,1,128.90
15000,150,1,128.90
15100,150,1,128.90
15200,150,1,128.90
15300,150,1,128.90
15400,150,1,128.90
15500,150,1,128.90
15600,150,1,128.90
15700,150,1,128.90
15800,150,1,128.90
15900,150,1,128.90
16000,150,1,128.90
16100,150,1,128.90
16200,150,1,128.90
16300,150,1,128.90
16400,150,1,128.90
16500,150,1,128.90
16600,150,1,128.90
16700,150,1,128.90
16800,150,1,128.90
16900,150,1,128.90
17000,150,1,128.90
17100,150,1,128.90
17200,150,1,128.90
17300,150,1,128.90
17400,150,1,128.90
17500,150,1,128.90
17600,150,1,128.90
17700,150,1,128.90
17800,150,1,128.90
17900,150,1,128.90
18000,150,0,131.44
18100,150,0,131.44
18200,150,0,131.44
18300,150,0,131.44
18400,150,0,131.44
18500,150,0,131.44
18600,150,0,131.44
18700,150,0,131.44
18800,150,0,131.44
18900,150,0,131.44
19000,150,0,131.44
19100,150,0,131.44
19200,150,0,131.44
19300,150,0,131.44
19400,150,0,131.44
19500,150,0,131.44
19600,150,0,131.44
19700,150,0,131.44
19800,150,0,131.44
19900,150,0,131.44
20000,150,0,131.44
20100,150,0,131.44
20200,150,0,131.44
20300,150,0,131.44
20400,150,0,131.44
20500,150,0,131.44
20600,150,0,131.44
20700,150,0,131.44
20800,150,0,131.44
20900,150,0,131.44
21000,150,0,131.44
21100,150,0,131.44
21200,150,0,131.44
21300,150,0,131.44
21400,150,0,131.44
21500,150,0,131.44
21600,150,0,131.44
21700,150,0,131.44
21800,150,0,131.44
21900,150,1,131.44
22000,150,1,131.44
22100,150,1,131.44
22200,150,1,131.44
22300,150,1,131.44
22400,150,1,131.44
22500,150,1,131.44
22600,150,1,131.44
22700,150,1,131.44
22800,150,1,131.44
22900,150,1,131.44
23000,150,1,131.44
23100,150,1,131.44
23200,150,1,131.44
23300,150,1,131.44
23400,150,1,131.44
23500,150,1,131.44
23600,150,1,131.44
23700,150,1,131.44
23800,150,1,131.44
23900,150,1,131.44
24000,150,1,131.44
24100,150,1,131.44
24200,150,1,131.44
24300,150,1,131.44
24400,150,1,131.44
24500,150,1,131.44
24600,150,1,131.44
24700,150,1,131.44
24800,150,1,131.44
24900,150,1,131.44
25000,150,1,131.44
25100,150,1,131.44
25200,150,1,131.44
25300,150,1,131.44
25400,150,1,131.44
25500,150,1,131.44
25600,150,1,131.44
25700,150,0,130.21
25800,150,0,130.21
25900,150,0,130.21
26000,150,0,130.21
26100,150,0,130.21
26200,150,0,130.21
26300,150,0,130.21
26400,150,0,130.21
26500,150,0,130.21
26600,150,0,130.21
26700,150,0,130.21
26800,150,0,130.21
26900,150,0,130.21
27000,150,0,130.21
27100,150,0,130.21
27200,150,0,130.21
27300,150,0,130.21
27400,150,0,130.21
27500,150,0,130.21
27600,150,0,130.21
27700,150,0,130.21
27800,150,0,130.21
27900,150,0,130.21
28000,150,0,130.21
28100,150,0,130.21
28200,150,0,130.21
28300,150,0,130.21
28400,150,0,130.21
28500,150,0,130.21
28600,150,0,130.21
28700,150,0,130.21
28800,150,0,130.21
28900,150,0,130.21
29000,150,0,130.21
29100,150,0,130.21
